config,trial,source,cluster,per_shard,shards,variant,len,capacity,elapsed_ns,hits,misses,evictions
after,2,twitter,cluster019,32,32,senba_n32,1000000,1024,25954872,304116,695884,694860
after,3,twitter,cluster019,32,32,senba_n32,1000000,1024,26907107,304116,695884,694860
after,1,twitter-string,cluster019,32,32,senba_n32,1000000,1024,54370677,304042,695958,694934
after,2,twitter-string,cluster019,32,32,senba_n32,1000000,1024,57188689,304042,695958,694934
after,3,twitter-string,cluster019,32,32,senba_n32,1000000,1024,54073085,304042,695958,694934
after,1,twitter,cluster019,64,16,senba_n16,1000000,1024,30516395,300278,699722,698698
after,2,twitter,cluster019,64,16,senba_n16,1000000,1024,29712048,300278,699722,698698
after,3,twitter,cluster019,64,16,senba_n16,1000000,1024,29744361,300278,699722,698698
after,1,twitter-string,cluster019,64,16,senba_n16,1000000,1024,58886170,300384,699616,698592
after,2,twitter-string,cluster019,64,16,senba_n16,1000000,1024,58834511,300384,699616,698592
after,3,twitter-string,cluster019,64,16,senba_n16,1000000,1024,59161307,300384,699616,698592
after,1,twitter,cluster019,32,128,senba_n128,1000000,4096,26660161,316413,683587,679491
after,2,twitter,cluster019,32,128,senba_n128,1000000,4096,27822934,316413,683587,679491
after,3,twitter,cluster019,32,128,senba_n128,1000000,4096,26619475,316413,683587,679491
after,1,twitter-string,cluster019,32,128,senba_n128,1000000,4096,57881719,316445,683555,679459
after,2,twitter-string,cluster019,32,128,senba_n128,1000000,4096,57997058,316445,683555,679459
after,3,twitter-string,cluster019,32,128,senba_n128,1000000,4096,59805057,316445,683555,679459
after,1,twitter,cluster019,64,64,senba_n64,1000000,4096,29544364,316021,683979,679883
after,2,twitter,cluster019,64,64,senba_n64,1000000,4096,27575471,316021,683979,679883
after,3,twitter,cluster019,64,64,senba_n64,1000000,4096,29995981,316021,683979,679883
after,1,twitter-string,cluster019,64,64,senba_n64,1000000,4096,61297363,316016,683984,679888
after,2,twitter-string,cluster019,64,64,senba_n64,1000000,4096,60077076,316016,683984,679888
after,3,twitter-string,cluster019,64,64,senba_n64,1000000,4096,59745554,316016,683984,679888
after,1,twitter,cluster019,32,512,senba_n512,1000000,16384,27034023,321732,678268,661884
after,2,twitter,cluster019,32,512,senba_n512,1000000,16384,27669384,321732,678268,661884
after,3,twitter,cluster019,32,512,senba_n512,1000000,16384,26873369,321732,678268,661884
after,1,twitter-string,cluster019,32,512,senba_n512,1000000,16384,69477063,321669,678331,661947
after,2,twitter-string,cluster019,32,512,senba_n512,1000000,16384,69211911,321669,678331,661947
after,3,twitter-string,cluster019,32,512,senba_n512,1000000,16384,69281219,321669,678331,661947
after,1,twitter,cluster019,64,256,senba_n256,1000000,16384,29998188,321684,678316,661932
after,2,twitter,cluster019,64,256,senba_n256,1000000,16384,31073488,321684,678316,661932
after,3,twitter,cluster019,64,256,senba_n256,1000000,16384,32088660,321684,678316,661932
after,1,twitter-string,cluster019,64,256,senba_n256,1000000,16384,71986088,321654,678346,661962
after,2,twitter-string,cluster019,64,256,senba_n256,1000000,16384,69321228,321654,678346,661962
after,3,twitter-string,cluster019,64,256,senba_n256,1000000,16384,71864335,321654,678346,661962
after,1,twitter,cluster034,32,32,senba_n32,1000000,1024,28492127,305111,694889,693865
after,2,twitter,cluster034,32,32,senba_n32,1000000,1024,28842029,305111,694889,693865
after,3,twitter,cluster034,32,32,senba_n32,1000000,1024,29760260,305111,694889,693865
after,1,twitter-string,cluster034,32,32,senba_n32,1000000,1024,58663555,304654,695346,694322
after,2,twitter-string,cluster034,32,32,senba_n32,1000000,1024,58826907,304654,695346,694322
after,3,twitter-string,cluster034,32,32,senba_n32,1000000,1024,58997105,304654,695346,694322
after,1,twitter,cluster034,64,16,senba_n16,1000000,1024,30898481,305990,694010,692986
after,2,twitter,cluster034,64,16,senba_n16,1000000,1024,30718305,305990,694010,692986
after,3,twitter,cluster034,64,16,senba_n16,1000000,1024,31383013,305990,694010,692986
after,1,twitter-string,cluster034,64,16,senba_n16,1000000,1024,62049479,305692,694308,693284
after,2,twitter-string,cluster034,64,16,senba_n16,1000000,1024,60929682,305692,694308,693284
after,3,twitter-string,cluster034,64,16,senba_n16,1000000,1024,62093870,305692,694308,693284
after,1,twitter,cluster034,32,128,senba_n128,1000000,4096,27854747,354965,645035,640939
after,2,twitter,cluster034,32,128,senba_n128,1000000,4096,28093735,354965,645035,640939
after,3,twitter,cluster034,32,128,senba_n128,1000000,4096,29277328,354965,645035,640939
after,1,twitter-string,cluster034,32,128,senba_n128,1000000,4096,58592215,354941,645059,640963
after,2,twitter-string,cluster034,32,128,senba_n128,1000000,4096,60038699,354941,645059,640963
after,3,twitter-string,cluster034,32,128,senba_n128,1000000,4096,60640065,354941,645059,640963
after,1,twitter,cluster034,64,64,senba_n64,1000000,4096,30127431,355495,644505,640409
after,2,twitter,cluster034,64,64,senba_n64,1000000,4096,29410167,355495,644505,640409
after,3,twitter,cluster034,64,64,senba_n64,1000000,4096,30886492,355495,644505,640409
after,1,twitter-string,cluster034,64,64,senba_n64,1000000,4096,66392381,355391,644609,640513
after,2,twitter-string,cluster034,64,64,senba_n64,1000000,4096,67281893,355391,644609,640513
after,3,twitter-string,cluster034,64,64,senba_n64,1000000,4096,63741353,355391,644609,640513
after,1,twitter,cluster034,32,512,senba_n512,1000000,16384,28054093,390590,609410,593026
after,2,twitter,cluster034,32,512,senba_n512,1000000,16384,29576188,390590,609410,593026
after,3,twitter,cluster034,32,512,senba_n512,1000000,16384,28908756,390590,609410,593026
after,1,twitter-string,cluster034,32,512,senba_n512,1000000,16384,67422245,390392,609608,593224
after,2,twitter-string,cluster034,32,512,senba_n512,1000000,16384,67915569,390392,609608,593224
after,3,twitter-string,cluster034,32,512,senba_n512,1000000,16384,68410995,390392,609608,593224
after,1,twitter,cluster034,64,256,senba_n256,1000000,16384,29695106,390423,609577,593193
after,2,twitter,cluster034,64,256,senba_n256,1000000,16384,31247320,390423,609577,593193
after,3,twitter,cluster034,64,256,senba_n256,1000000,16384,30918353,390423,609577,593193
after,1,twitter-string,cluster034,64,256,senba_n256,1000000,16384,71492652,390427,609573,593189
after,2,twitter-string,cluster034,64,256,senba_n256,1000000,16384,77736978,390427,609573,593189
after,3,twitter-string,cluster034,64,256,senba_n256,1000000,16384,73273470,390427,609573,593189
