trial,variant,source,skew,keys,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
3,j5_n128,zipf,1.2,100000,1000000,4096,32,128,13653633,897179,102821,98725
3,j5_n64,zipf,1.2,100000,1000000,4096,64,64,15157719,897380,102620,98524
3,j5_n32,zipf,1.2,100000,1000000,4096,128,32,17647555,897545,102455,98359
3,j5_n16,zipf,1.2,100000,1000000,4096,256,16,24374627,897547,102453,98357
3,orig,zipf,1.2,100000,1000000,16384,16384,1,14663596,937388,62612,46228
3,j5_n512,zipf,1.2,100000,1000000,16384,32,512,14247218,936865,63135,46751
3,j5_n256,zipf,1.2,100000,1000000,16384,64,256,16455513,937166,62834,46450
3,j5_n128,zipf,1.2,100000,1000000,16384,128,128,15875758,937310,62690,46306
3,j5_n64,zipf,1.2,100000,1000000,16384,256,64,18973317,937317,62683,46299
4,orig,zipf,0.9,100000,1000000,1024,1024,1,35780367,450302,549698,548674
4,j5_n32,zipf,0.9,100000,1000000,1024,32,32,28856197,449015,550985,549961
4,j5_n16,zipf,0.9,100000,1000000,1024,64,16,33360791,450560,549440,548416
4,j5_n8,zipf,0.9,100000,1000000,1024,128,8,37955505,452267,547733,546709
4,j5_n4,zipf,0.9,100000,1000000,1024,256,4,56237651,451887,548113,547089
4,orig,zipf,0.9,100000,1000000,4096,4096,1,30886589,570385,429615,425519
4,j5_n128,zipf,0.9,100000,1000000,4096,32,128,26748151,573862,426138,422042
4,j5_n64,zipf,0.9,100000,1000000,4096,64,64,30054699,574667,425333,421237
4,j5_n32,zipf,0.9,100000,1000000,4096,128,32,35262688,574376,425624,421528
4,j5_n16,zipf,0.9,100000,1000000,4096,256,16,50139437,573727,426273,422177
4,orig,zipf,0.9,100000,1000000,16384,16384,1,28155472,716034,283966,267582
4,j5_n512,zipf,0.9,100000,1000000,16384,32,512,24765089,716178,283822,267438
4,j5_n256,zipf,0.9,100000,1000000,16384,64,256,26540716,716374,283626,267242
4,j5_n128,zipf,0.9,100000,1000000,16384,128,128,31632624,716088,283912,267528
4,j5_n64,zipf,0.9,100000,1000000,16384,256,64,43878474,716106,283894,267510
4,orig,zipf,1,100000,1000000,1024,1024,1,28266765,598348,401652,400628
