trial,variant,cluster,len,capacity,elapsed_ns,hits,misses,evictions
1,c15s_8_n64,cluster018,1000000,1024,64139365,487180,512820,511796
1,c15s_8_n64,cluster018,1000000,2048,96536379,552247,447753,445705
1,c15s_8_n64,cluster018,1000000,4096,154882051,610143,389857,385761
1,c15s_4_n64,cluster018,1000000,1024,65245179,493374,506626,505602
1,c15s_4_n64,cluster018,1000000,2048,99818626,558410,441590,439542
1,c15s_4_n64,cluster018,1000000,4096,157664497,615371,384629,380533
2,c14s_n64,cluster018,1000000,1024,65882776,511234,488766,487742
2,c14s_n64,cluster018,1000000,2048,99868355,572750,427250,425202
2,c14s_n64,cluster018,1000000,4096,156399320,627648,372352,368256
2,c15s_16_n64,cluster018,1000000,1024,65494238,481394,518606,517582
2,c15s_16_n64,cluster018,1000000,2048,101395584,547243,452757,450709
2,c15s_16_n64,cluster018,1000000,4096,152897669,603749,396251,392155
2,c15s_8_n64,cluster018,1000000,1024,66627370,486293,513707,512683
2,c15s_8_n64,cluster018,1000000,2048,99626812,552237,447763,445715
2,c15s_8_n64,cluster018,1000000,4096,151863285,609165,390835,386739
2,c15s_4_n64,cluster018,1000000,1024,65924541,492818,507182,506158
2,c15s_4_n64,cluster018,1000000,2048,99704294,557036,442964,440916
2,c15s_4_n64,cluster018,1000000,4096,157473883,615700,384300,380204
3,c14s_n64,cluster018,1000000,1024,66569152,511234,488766,487742
3,c14s_n64,cluster018,1000000,2048,102573559,572750,427250,425202
3,c14s_n64,cluster018,1000000,4096,154839373,627648,372352,368256
3,c15s_16_n64,cluster018,1000000,1024,66857691,481394,518606,517582
3,c15s_16_n64,cluster018,1000000,2048,100626492,547243,452757,450709
3,c15s_16_n64,cluster018,1000000,4096,160797510,603749,396251,392155
3,c15s_8_n64,cluster018,1000000,1024,67017208,486293,513707,512683
3,c15s_8_n64,cluster018,1000000,2048,101794342,552237,447763,445715
3,c15s_8_n64,cluster018,1000000,4096,162105166,609165,390835,386739
3,c15s_4_n64,cluster018,1000000,1024,68203193,492818,507182,506158
3,c15s_4_n64,cluster018,1000000,2048,100561445,557036,442964,440916
3,c15s_4_n64,cluster018,1000000,4096,160884690,615700,384300,380204
4,c14s_n64,cluster018,1000000,1024,71360212,511234,488766,487742
4,c14s_n64,cluster018,1000000,2048,108183385,572750,427250,425202
4,c14s_n64,cluster018,1000000,4096,163202983,627648,372352,368256
4,c15s_16_n64,cluster018,1000000,1024,69896271,482702,517298,516274
4,c15s_16_n64,cluster018,1000000,2048,104890341,547585,452415,450367
4,c15s_16_n64,cluster018,1000000,4096,172584695,604231,395769,391673
4,c15s_8_n64,cluster018,1000000,1024,68849393,486179,513821,512797
4,c15s_8_n64,cluster018,1000000,2048,100526362,552049,447951,445903
4,c15s_8_n64,cluster018,1000000,4096,159484696,610571,389429,385333
4,c15s_4_n64,cluster018,1000000,1024,68624832,494133,505867,504843
4,c15s_4_n64,cluster018,1000000,2048,104107431,557862,442138,440090
4,c15s_4_n64,cluster018,1000000,4096,173189966,615618,384382,380286
5,c14s_n64,cluster018,1000000,1024,67122123,511234,488766,487742
5,c14s_n64,cluster018,1000000,2048,105059099,572750,427250,425202
5,c14s_n64,cluster018,1000000,4096,162057815,627648,372352,368256
5,c15s_16_n64,cluster018,1000000,1024,66863410,482702,517298,516274
5,c15s_16_n64,cluster018,1000000,2048,99798727,547585,452415,450367
5,c15s_16_n64,cluster018,1000000,4096,160416547,604231,395769,391673
5,c15s_8_n64,cluster018,1000000,1024,69686211,486179,513821,512797
5,c15s_8_n64,cluster018,1000000,2048,101528023,552049,447951,445903
5,c15s_8_n64,cluster018,1000000,4096,159050841,610571,389429,385333
5,c15s_4_n64,cluster018,1000000,1024,67543391,494133,505867,504843
5,c15s_4_n64,cluster018,1000000,2048,101763161,557862,442138,440090
5,c15s_4_n64,cluster018,1000000,4096,163903860,615618,384382,380286
1,c14s_n64,cluster019,1000000,1024,132013898,305930,694070,693046
1,c14s_n64,cluster019,1000000,2048,236522463,312325,687675,685627
1,c14s_n64,cluster019,1000000,4096,456882478,316021,683979,679883
1,c15s_16_n64,cluster019,1000000,1024,103113815,305517,694483,693459
1,c15s_16_n64,cluster019,1000000,2048,176851358,311698,688302,686254
1,c15s_16_n64,cluster019,1000000,4096,321854635,315815,684185,680089
1,c15s_8_n64,cluster019,1000000,1024,101323990,305788,694212,693188
1,c15s_8_n64,cluster019,1000000,2048,176624028,311818,688182,686134
1,c15s_8_n64,cluster019,1000000,4096,328913413,315823,684177,680081
1,c15s_4_n64,cluster019,1000000,1024,104324142,305889,694111,693087
1,c15s_4_n64,cluster019,1000000,2048,190144373,312047,687953,685905
1,c15s_4_n64,cluster019,1000000,4096,360269768,315867,684133,680037
2,c14s_n64,cluster019,1000000,1024,130323400,305930,694070,693046
2,c14s_n64,cluster019,1000000,2048,233513246,312325,687675,685627
2,c14s_n64,cluster019,1000000,4096,435896342,316021,683979,679883
2,c15s_16_n64,cluster019,1000000,1024,99055178,305542,694458,693434
2,c15s_16_n64,cluster019,1000000,2048,180407485,312042,687958,685910
2,c15s_16_n64,cluster019,1000000,4096,324276958,315754,684246,680150
