variant,trial,workload,op_mix,skew,keys,threads,cap,ops,total_elapsed_ns,aggregate_mops,mops_min_per_thread,hit_ratio,p50_chunk_ns,p99_chunk_ns,thread_throughput_cv
c8,0,adversarial-hot,read-only,1,1,16,64,16000000,513757573,31.1431,1.9464,1.0000,407.56,2172.55,0.0922
c8,0,uniform,read-only,1,100000,1,64,1000000,13978941,71.5362,71.5362,0.0006,13.73,20.69,0.0000
c8,0,uniform,read-only,1,100000,2,64,2000000,29887562,66.9175,33.4587,0.0006,21.18,57.74,0.1345
c8,0,uniform,read-only,1,100000,4,64,4000000,38018144,105.2129,26.3032,0.0006,22.75,73.49,0.4008
c8,0,uniform,read-only,1,100000,8,64,8000000,39477746,202.6458,25.3307,0.0006,14.07,66.26,0.3864
c8,0,uniform,read-only,1,100000,16,64,16000000,45382450,352.5592,22.0349,0.0006,21.99,86.60,0.1792
c8,0,zipf,read-heavy,0.7,100000,1,64,1000000,57811543,17.2976,17.2976,0.0701,55.99,91.53,0.0000
c8,0,zipf,read-heavy,0.7,100000,2,64,2000000,78101038,25.6079,12.8039,0.0723,73.81,158.42,0.0072
c8,0,zipf,read-heavy,0.7,100000,4,64,4000000,105822520,37.7991,9.4498,0.0724,100.05,192.92,0.0032
c8,0,zipf,read-heavy,0.7,100000,8,64,8000000,242527493,32.9860,4.1232,0.0729,208.36,574.22,0.0098
c8,0,zipf,read-heavy,0.7,100000,16,64,16000000,682685644,23.4368,1.4648,0.0720,663.53,1235.31,0.0113
c8,0,zipf,read-heavy,1,100000,1,64,1000000,59769344,16.7310,16.7310,0.3582,58.78,76.48,0.0000
c8,0,zipf,read-heavy,1,100000,2,64,2000000,90670290,22.0579,11.0290,0.3568,87.56,159.62,0.0058
c8,0,zipf,read-heavy,1,100000,4,64,4000000,148338309,26.9654,6.7413,0.3556,142.01,264.96,0.0087
c8,0,zipf,read-heavy,1,100000,8,64,8000000,297986814,26.8468,3.3559,0.3550,267.43,574.67,0.0047
c8,0,zipf,read-heavy,1,100000,16,64,16000000,722996627,22.1301,1.3831,0.3549,702.69,1277.37,0.0069
c8,0,zipf,read-heavy,1.2,100000,1,64,1000000,61569954,16.2417,16.2417,0.6225,60.39,79.88,0.0000
c8,0,zipf,read-heavy,1.2,100000,2,64,2000000,97963603,20.4157,10.2079,0.6218,95.89,141.97,0.0020
c8,0,zipf,read-heavy,1.2,100000,4,64,4000000,174794552,22.8840,5.7210,0.6202,172.53,282.08,0.0050
c8,0,zipf,read-heavy,1.2,100000,8,64,8000000,340532708,23.4926,2.9366,0.6167,310.25,569.81,0.0073
c8,0,zipf,read-heavy,1.2,100000,16,64,16000000,709733461,22.5437,1.4090,0.6154,674.82,1350.15,0.0117
c8,0,adversarial-hot,read-heavy,1,1,1,64,1000000,14286830,69.9945,69.9945,0.9500,14.03,20.71,0.0000
c8,0,adversarial-hot,read-heavy,1,1,2,64,2000000,76477880,26.1514,13.0757,0.9224,76.74,124.11,0.0046
c8,0,adversarial-hot,read-heavy,1,1,4,64,4000000,167047723,23.9453,5.9863,0.8175,171.12,256.58,0.0028
c8,0,adversarial-hot,read-heavy,1,1,8,64,8000000,357070671,22.4045,2.8006,0.7407,328.86,682.08,0.0236
c8,0,adversarial-hot,read-heavy,1,1,16,64,16000000,784851977,20.3860,1.2741,0.7523,764.42,1319.22,0.0082
c8,0,uniform,read-heavy,1,100000,1,64,1000000,17126576,58.3888,58.3888,0.0000,16.92,24.69,0.0000
c8,0,uniform,read-heavy,1,100000,2,64,2000000,48660382,41.1012,20.5506,0.0000,39.28,99.83,0.0838
c8,0,uniform,read-heavy,1,100000,4,64,4000000,95497579,41.8859,10.4715,0.0000,79.23,179.05,0.1063
c8,0,uniform,read-heavy,1,100000,8,64,8000000,284209555,28.1482,3.5185,0.0000,256.47,667.54,0.0144
c8,0,uniform,read-heavy,1,100000,16,64,16000000,746505465,21.4332,1.3396,0.0000,724.53,1320.14,0.0049
